,한글 이름,영문 이름,가격,종류,나라,도시,아로마,음식매칭,전문가 평점,소비자 평점,알코올,당도,산도,바디,타닌,메이커스 노트,테이스팅 노트
95,오퍼스 원,Opus One,900000.0,,미국,캘리포니아,"자두, 자두, 블루베리, 블랙베리, 바닐라, 꽃, 제비꽃",,-,4.3,14~15 %,1,3,5,4,"진한 검붉은 색을 띠고 코에서는 신선한 붉거나 파란 과일, 빵 굽는 향, 바닐라, 봄의 싱그러운 꽃의 아로마와 세이지, 로즈마리, 블랙 올리브의 부케가 느껴진다. 입 안에서는 블랙체리, 블랙베리, 카시스의 향연이 펼쳐지고 크림같이 부드러운 타닌은 전체적으로 둥글둥글한 구조감을 만들어주는, 조화롭고 생기있는 와인이다.

2016 빈티지는 까베르네 소비뇽 77%, 쁘띠 베르도 8%, 메를로 8%, 까베르네 프랑 5%, 말벡 2%가 블렌딩 되었다.",
96,"바틱, 로제","Batic, Rose",120000.0,,슬로베니아,비파바,,,-,4.5,,1,3,3,2,,
97,"카르피네토, 키안티 클라시코","Carpineto, Chianti Classico",80000.0,,이탈리아,키안티,"체리, 딸기, 오크",파스타,-,3.6,13 %,1,3,4,3,"플로렌스와 시에나 사이에 위치한 아름다운 포도밭인 끼안띠 클라시코는 언덕쪽에 위치해 있으며, 시장에 출시되기 4-6개월 동안 온도조절 셀러에 병입된 상태로 또다시 숙성된다. 루비빛 붉은색을 띠며 숙성되면서 점차 가넷색을 띤다. 바이올릿, 베리와 체리류의 은근한 향의 조화가 훌륭하며, 벨벳처럼 부드럽고 우아한 풀바디의 와인으로 매우 잘 균형 잡혀 있다. 오크통에서 6개월 이상 숙성 후 6개월 병숙성하였다.",
98,"킴 크로포드, 샤도네이","Kim Crawford, Chardonnay",50000.0,,뉴질랜드,,"배, 복숭아, 시트러스, 레몬, 열대과일","치즈, 카망베르, 연어, 돼지고기, 돼지",-,-,,1,2,3,1,"샤도네이는 뉴질랜드를 대표하는 화이트 포도품종 중 하나로 주로 북섬에서 재배되던 품종이다. 킴크로포드 샤도네이는 북섬의 혹스베이와 남섬의 말보로 지역의 샤도네이를 블랜딩하여 만든 와인이다. 이런 특징은 북섬이 간직한 단단한 복숭아의 향과 남섬이 간직한 시트러스한 풍미를 느낄 수 있게 한다.

포도를 으깬 뒤 껍질을 제거하고 순수한 주스만을 가지고 젖산발효를 진행한 뒤 8개월 동안 스테인리스스틸탱크에서 숙성을 진행한다. 인위적인 느낌 없이 열대과일의 향과 레몬파이에서 여운을 느낄 수 있다.",
99,"도멘 뉘당, 부르고뉴 피노 누아","Domaine Nudant, Bourgogne Pinot Noir",,,프랑스,부르고뉴,"체리, 바닐라, 꽃, 흙","스테이크, 안심, 돼지",-,-,12~13 %,1,3,3,2,"반짝이는 옅은 루비 컬러의 와인으로 첫 향에서 레드 체리, 라즈 베리, 작은 붉은 꽃 등의 향이 느껴진다. 섬세함과 과일 향에 중점을 둔 와인이기 때문에 우디(Woody)한 캐릭터는 잘 느껴지지 않지만 온도가 오르면 약간의 바닐라 향을 느낄 수 있다. 뒤이어 젖은 흙과 이끼 향으로 대표되는 미네랄이 느낄 수 있다. 미디엄 바디의 드라이 와인으로 섬세한 산도와 부드러운 타닌을 가지고 있다. 선이 가늘고 여린 느낌의 와인으로 편안하게 마실 수 있는 섬세한 피노 누아 와인이다. 향 후 3~4년간은 보관이 가능하며, 15도 전후에서 시음하기를 추천 합니다.",
100,"레이몬드, 리저브 셀렉션 메를로","Raymond, Reserve Selection Merlot",190000.0,,미국,나파 밸리,"자두, 자두, 블루베리, 블랙커런트, 오크","치즈, 해산물, 닭고기, 스테이크, 육류요리, 스튜",-,-,14.3 %,1,2,4,3,"18개월 정도 프랑스산 오크통에서 숙성된 리저브 메를로는 진한 루비빛의 와인으로 블랙커런트, 자두와 스파이시한 백단의 아로마를 제공하며 입안에서는 검정베리, 블루베리와 바이올릿향의 맛과 균형을 보여준다. 훌륭한 구조감과 견고한 타닌이 돋보이는 긴 피니시를 선보이는 와인이다.",
101,"킴 크로포드, 피노 그리","Kim Crawford, Pinot Gris",48000.0,,뉴질랜드,사우스 아일랜드,"사과, 꽃, 시트러스, 꿀",생선회,-,4,13 %,1,3,2,1,"피노그리는 최근 뉴질랜드에서 생산량이 급증하고 있어 소비뇽 블랑의 뒤를 이어 뉴질랜드를 대표하고 있는 품종이다. 킴크로포드 피노그리는 과실이 가진 상큼한 느낌을 유지시키기 위해 아주 서서히 착즙을 진행한다. 착즙을 통해 나온 주스는 저온을 유지하며 서서히 발효를 진행하는데, 이 과정에서 피노그리 특유의 풍미가 나타나게 된다. 나무와의 접촉을 최대한으로 줄인 킴크로포드 피노그리는 꿀과 같은 달콤한 느낌의 향과 시트러스한 향이 결합하여 강렬하게 느껴진다. 그리고 입안을 사과향과 꽃향이 깔끔하고 신선하게 만들어 준다.",
102,"도비, 브뤼 리저브 프르미에 크뤼","Dauby, Brut Reserve Premier Cru",,스파클링,프랑스,샹빠뉴,"복숭아, 레몬, 효모","치즈, 카망베르, 브리, 샐러드",-,-,12~13 %,1,3,3,1,"상파뉴의 프리미에 크뤼 마을인 뮤티니와 마레일-쉬르-아이의 포도로 양조했다. 피노누아 60%, 샤르도네 40%가 블랜딩 되었다. 신선한 레몬과 복숭아 향이 인상적이며 섬세한 산도가 뛰어난 샴페인이다. 무엇하나 모나지 않은 밸런스를 가진 샴페인으로 샴페인의 기본을 보여준다. 향 후 10년간은 시음적기를 유지할 것이며 특히 산도가 뛰어난 샴페인으로 훌륭한 숙성력을 가지고 있다. 특별한 핸들링은 필요 없으며 와인 특유의 섬세함을 더욱 즐기고 싶다면 화이트 와인 글라스에 드셔도 좋다. 스테인레스에서 베이스 와인 숙성 후 효모 숙성되었다.",
103,벨스타 프로세코 컬트 엑스트라 드라이,Belstar Prosecco Cult Extra Dry,55000.0,스파클링,이탈리아,베네토,"배, 사과, 복숭아, 살구, 꽃, 자몽, 감귤",,-,3.8,11~12 %,1,3,2,1,"맑은 볏짚 색, 정교하고 생동감 넘치는 버블. 사과, 복숭아, 배, 살구, 감귤, 분홍 자몽 향, 흰 야생 꽃 향이 느껴진다. 부드러운 버블과 적절한 산도가 조화를 이룬다.

벨스타는 비솔의 오랜 경험을 통해 선택된 프로세코 DOC 재배지에서 생산한 와인으로, 과실과 꽃 향이 풍부하고 우아하면서도 트렌디한 스타일의 프로세코이다. '벨스타'는 전통적으로 프로세코를 생산하던 지역의 문턱에 위치했던 포도원의 이름이자, 지역 방언으로 '살기 좋은 장소'란 의미로 BE WELL, ENJOY YOUR LIFE 의 의미를 담고 있다.",
104,듀블 브뤼,Duble Brut,65000.0,스파클링,이탈리아,깜빠니아,"사과, 복숭아, 살구","식전주, 생선회, 스시",-,3.2,12.5 %,1,3,3,1,"복숭아, 살구, 농익은 황금빛 사과, 은은한 카모마일 향이 느껴지며 생기 넘치는 버블감이 인상적이다. 매혹적이고 향긋한 향은 강렬한 움직임을 연상케 한다. 입안에서의 볼륨감이 좋은 와인이다. '듀블'은 깜빠니아 토착 품종을 이용하여 상파뉴 방식으로 생산된 스파클링 와인으로, 스파클링 와인의 새로운 지평을 열기 위한 페우디의 야심찬 프로젝트이다.

2004년에 시작된 DUBLE 프로젝트에 Irpinia 지역 품종에 대한 자부심을 보여주고자 하는 ‘페우디 디 산 그레고리아’의 바람이 담겨있다. In steel vats에서 알코올 발효를 거친 후, 전통 방식에 따른 2차 발효, 최소 18개월의 Lees ageing을 거친다.","
이종재/JJ
2018.10.18
NV 빈티지
3.5"
105,랑메일 올판 뱅크 쉬라즈,Langmeil Orphan Bank Shiraz,250000.0,,호주,바로사 밸리,"자두, 자두, 감초, 허브, 오크",,-,-,15 %,1,4,5,4,"보라빛의 컬러를 띠고 있는 풀 바디 와인으로 올드바인 수령 70년 이상 된 열매로 양조된 와인이다. 쉬라즈 품종의 전형적인 스파이시한 아로마가 돋보이며, 색이 진한 과일, 블랙 커런트, 말린 자두 등의 풍성한 과일 아로마를 느낄 수 있다. 견고한 탄닌과 함께 허브와 말린 감초, 귀리 비스킷의 아로마가 숨어있으며, 24개월 프렌치 오크 숙성(50% 새 오크통 사용)되었다.

Orphan Bank Shiraz는 랑메일이 바로사 빈야드의 올드바인을 앞으로 잘 보존하겠다는 약속의 증언을 뜻한다.
(1860년대 초 심었던 랑메일 빈야드 옆의 쉬라즈 나무들 중 산업개발에 의해 일부분만 살아 남았고, 현재 랑메일에서 보존하고 있다.) 무분별한 개발로 불도져로 뒤엎어질 뻔 했던 고아(Orphan)처럼 버려진 쉬라즈 고목을 3년에 걸쳐 랑메일 와이너리에 옮겨 심었고 강 옆 둑(Bank)에 위치한 빈야드에 자리를 잡으며 최상의 올드바인 쉬라즈를 생산하고 있다.",
106,"쟝테 팡시오, 쥬브레 샹베르탕 비에이 비뉴","Geantet Pansiot, Gevrey Chambertin Vieilles Vignes",240000.0,,프랑스,쥬브레-샹베르땅,"석류, 체리, 블랙체리, 미네랄","등심, 안심, 양고기",-,-,,1,3,4,3,"도멘 장테 팡시오는 발광 다이오드를 이용한 엄격한 포도 선별 작 업과 압착과정을 거치지 않고 오랜 침용과정으로 와인을 생산한다. 푸른 빛이 살짝 가미된 짙은 석류빛. 집중도 있는 부케와 함께 검은 베리, 블랙체리, 블랙 컬런트, 블루 베리의 아로마가 바날라의 느낌과 잘 어우러져 있다. 미디엄 바디 와 함께 부드러운 탄닌, 풍부한 미네랄의 여운은 와인의 풍미를 한 층 돋보이게 한다. 14개월 동안 30%의 New Oak통에서 숙성되었다.",
107,"코노 수르, 20 배럴 샤도네이","Cono Sur, 20 Barrels Chardonnay",80000.0,,칠레,카사블랑카 밸리,"배, 복숭아, 미네랄","치즈, 연어, 돼지, 양고기",-,4,13.5 %,1,3,4,1,"연둣빛이 감도는 노랑색을 띠고 있으며 자몽, 라임의 산뜻하고 달콤한 과일 향과 우아한 흰 꽃 아로마, 토스티한 오크와 아몬드 향이 차례로 레이어된다. 입 안에서 집중도 높은 과일 풍미와 일정 수준의 산미, 입맛을 돋우는 미네랄리티가 잘 만든 고급 화이트 와인의 특성을 보여준다. 손으로 수확한 포도로 양조해 90%는 프랑스산 새 오크배럴에서, 10%는 달걀 모양의 콘크리트 통에서 8개월 숙성한다.

코노 수르 20배럴 시리즈는 1996년 최고의 피노 누아를 엄선해 20배럴 분량만 한정적으로 만들며 탄생한 ‘리미티드 에디션’ 브랜드다. 세계적인 성공을 거둔 후 포도품종을 확대해 현재는 까베르네 소비뇽(1997년 론칭), 메를로(1998년 론칭), 샤르도네(2002년 론칭), 소비뇽 블랑(2005년 론칭), 시라(2008년 론칭) 등 다양한 버전을 선보이고 있다.",
108,"폴 자불레 애네, 크로즈 에르미타주 '도멘 드 탈라베'","Paul Jaboulet Aine, Crozes Hermitage 'Domaine de Thalabert'",135000.0,,프랑스,크로즈-에르미따쥬,"오크, 가죽",양고기,-,3.5,,1,3,4,4,"맑고 밝은 톤의 루비 색으로 강렬하고 복합적인 붉은 열매 과일 향과 절제된 오크 향, 스파이시함, 가죽 향이 조화롭게 피어난다. 강렬하면서도 부드러운 타닌과 묵직한 바디감은 훌륭한 밸런스를 선보이는 와인이다.

Croze Hermitage는 북부 론 밸리 아뻴라시옹의 가장 큰 포도원이다. 론의 왼쪽 편 Drome이라는 지역에 위치하며, 11개의 communes(마을)이 이 아펠라시옹에 포함되어 있다. Thalabert는 1834년부터 Paul Jaboulet Aine가 소유하고 있으며, Croze Hermitage에서 가장 오랜 역사를 가진 떼루아다.",
109,"마르께스 데 리스칼, 레세르바","Marques de Riscal, Reserva",97000.0,,스페인,리오하,"체리, 오크","불고기, 피자, 파스타",-,3.8,14~15 %,1,3,4,4,"스파이시, 발사믹향, 오크향이 조화를 이루고 있다. '마르께스 데 리스칼'은 현 스페인 국왕인 후안 카를로스 1세의 아버지 때부터 왕궁에 와인을 공급하고 있는 스페인왕실 공식와이너리이자 스페인 최고 와인명가이다.할리우드스타 브래드 피트와 안젤리나 졸리 커플이 선호하는 와인으로도 알려져 있다. 또, 기네스 펠트로의 스페인 여행 프로그램 ‘스페니쉬 디너’에도 스페인을 대표하는 와이너리로 소개된 바 있다. 현재 샤또 마고의 수석 와인메이커인 폴 퐁타이에가 샤또 마고 외에 유일하게 컨설팅을 해주는 와이너리가 바로 리스칼이다. 포도는 모두 손으로 수확하며, 가지를 정리한 후 나무 및 스테인레스 스틸, 콘크리트 양조탱크에서 완벽히 온도 조절된 상태로 발효시킨다. 1달 동안의 침용 과정을 거친 후에 프랑스산 오크배럴에서 16개월간 숙성시킨다.

마르께스 데 리스칼 레세르바는 점토성 석회암 토질이 리오하에서 가장 우수한 빈야드에서 수령이 15년 이상 된 포도나무에서 수확한 템프라니요로 빚는다. 그라시아노와 마주엘로의 블렌딩 비율은 최대 10%를 넘지 않는다. 이 포도들의 좋은 산도 밸런스와 섬세한 탄닌 덕분에 오크와 병 숙성을 통해 더욱 뛰어난 와인의 향미를 표현한다.",
110,몬테스 알파 블랙 라벨 카버네 소비뇽,Montes Alpha Black Label Cabernet Sauvignon,67000.0,,칠레,콜차구아 밸리,"배, 오크",,-,4,14~15 %,1,3,5,4,"몬테스 알파 블랙 라벨 카버네 소비뇽은 깊고 강렬한 루비-레드 빛깔의 와인으로 칠레 최고의 프리미엄 레드 와인 생산지인 콜차구아 밸리에서 만들어진 카버네 소비뇽 와인이다. 특히 새롭게 선보이는 ‘블랙 라벨’은 콜차구아 밸리 내에서도 아팔타와 마르치구엘 포도밭의 가장 프리미엄 구획에서만 양질의 포도를 선별하였다. 또한, 기존 알파보다 수확시기를 일주일 연장하여 더욱 응축된 과실 아로마와 실키한 타닌을 가지며, 몬테스 알파보다 4개월 더 긴 16개월 동안 프렌치 오크에서 숙성과정을 거쳐 토스티한 풍미와 크리미한 질감을 배가시켰다.",
111,"씨슬, 피노 누아","Thistle, Pinot Noir",160000.0,,미국,던디 힐,"체리, 오크, 효모",,-,4,13.1 %,1,3,3,2,"오레곤 윌라메트 밸리의 핵심지역인 던디 힐에 위치한 Thistle Winery! 이 곳의 유기농 포도로 만들어진 Thistle 피노누아는 진하면서도 영롱한 자주빛이 인상적이다. 와인 특유의 생기와 깊고 풍부한 과실향은 우아하면서 구조감을 갖추고 있다. 100% 프랑스 오크통을 사용하였으며, 와인 고유의 특징을 살리기 위해 자연 발생하는 천연효모로 발효,Non-Filtering 용법을 사용, 피노누아 고유의 순수함을 담아낸 와인이다. 레드체리, 라즈베리, 레드컬런트 등의 상큼한 과실향과 오가닉 포도를 네츄럴방식으로 양조하여 특유의 아세트산 느낌이 식욕을 돋구는 풍미 가득한 와인이다.",
112,아미코네 코르비나 에디지오네 네로,Amicone Corbina Edizione Nero,55000.0,,이탈리아,베로나,"무화과, 체리","치즈, 스튜",-,-,13~14 %,1,3,5,3,"짙은 루비색. 숙성한 과일과 응축된 체리향과 함께 붉은 과일, 베리, 무화과가 느껴지며, 두터우나 매끄러운 타닌의 풀바디 와인이다.",
113,"크리코바, 피노 누아 엑스트라 브뤼","Cricova, Pinot Noir Extra Brut",62000.0,스파클링,몰도바,,"복숭아, 시트러스, 미네랄","디저트, 초콜릿, 연어, 과일",-,-,,1,3,4,1,"밝은 금색을 띠는 이 와인은 복숭아, 시트러스, 구운 빵의 아로마를 가득 담고 있다. 입안에서는 미네랄리티와 적절한 산미가 조화를 이루고 있으며, 과실의 풍미가 은은하게 풍겨 온다. 크리미하면서도 미네랄리티가 이루고 있는 구조감이 특징이다.

상퍄뉴 지방의 전통적인 방식(트래디셔널 메소드)을 따라 병입 후 2차 발효가 일어 났으며 병속에서 2년 이상 숙성하였다. 자잘하고 오래 지속되는 기포와 복합적인 풍미가 담긴 고급스러운 스파클링을 생산하는 방식이다.",
